"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population","countrycode","continentcode","tstamp","latitude","longitude","magnitude","tsunami_ind","damage_range","houses_damaged"
"14",14,2007-01-17,"Philippines","landslide","Landslide","Rain","",NA,NA,"balita.ph","http://news.balita.ph/html/article.php/20070117102425566","",25,"Medium",5.49933,3381,"PH","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",8.6184,125.6732,NA,NA,NA,NA
"15",15,2007-01-18,"Philippines","landslide","Landslide","Rain","",5,NA,"Manila standard today.com","http://www.manilastandardtoday.com/?page=regions3_jan22_2007","",50,"Medium",4.06522,2830,"PH","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",17.1167,120.917,NA,NA,NA,NA
"16",16,2007-01-19,"China","landslide","Landslide","Rain","",8,NA,"The hindu.com","http://www.hindu.com/thehindu/holnus/003200701190924.htm","",50,"Medium",1.73237,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",29.3631,115.4786,NA,NA,NA,NA
"17",17,2007-01-31,"Indonesia","landslide","Landslide","Rain","",6,NA,"People's Daily Online","http://english.people.com.cn/200701/31/eng20070131_346481.html","",5,"Medium",2.61442,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-0.6811,119.762,NA,NA,NA,NA
"18",18,2007-02-02,"Peru","landslide","Landslide","Rain","",5,NA,"Unsure","","",NA,"Medium",14.94244,2000,"PE","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-13.268,-72.4005,NA,NA,NA,NA
"19",19,2007-02-04,"Canada","landslide","Complex","Rain","",NA,NA,"CTV news","http://www.ctv.ca/servlet/ArticleNews/story/CTVNews/20070204/bc_rockslide_070204/20070204?hub=Canada","",10,"Medium",1.19034,10600,"CA",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.1067,-122.9765,NA,NA,NA,NA
"20",20,2007-02-06,"Indonesia","landslide","Landslide","Rain","",7,NA,"ICL","http://cempaka-nature.blogspot.com/2007_01_07_archive.html","",25,"Medium",0.6654,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-6.25,106.1,NA,NA,NA,NA
"21",21,2007-02-07,"United Kingdom","landslide","Landslide","Unknown","",NA,NA,"Imedinews.com","http://www.imedinews.ge/en/news_read/19496","",5,"Medium",1.77064,11853,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.7035,-3.2243,NA,NA,NA,NA
"22",22,2007-02-11,"Brunei","landslide","Landslide","Rain","",NA,NA,"Borneo Bulletin - Brunei Direct","http://www.brudirect.com/DailyInfo/News/Archive/Feb07/100207/bb02.htm","",50,"Small",33.23722,19151,"BN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",4.4999,114.6667,NA,NA,NA,NA
"23",23,2007-02-11,"Fiji","landslide","Landslide","Rain","",NA,NA,"Fiji Times Online","http://www.fijitimes.com/story.aspx?id=57018","",50,"Medium",27.83596,42284,"FJ","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-18.0167,177.55,NA,NA,NA,NA
"24",24,2007-02-11,"United States","landslide","Landslide","Rain","",NA,NA,"ABC7 news","http://abclocal.go.com/kgo/story?section=local&id=5024231","",5,"Small",9.96508,2933,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.4909,-122.3494,NA,NA,NA,NA
"25",25,2007-02-13,"United Kingdom","landslide","Landslide","Rain","",NA,NA,"UK-BBC.com","http://news.bbc.co.uk/2/hi/uk_news/england/cornwall/6363899.stm","",10,"Small",1.84621,3170,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.4444,-4.9527,NA,NA,NA,NA
"26",26,2007-02-14,"United Kingdom","landslide","Landslide","Rain","",NA,NA,"BBC News","http://news.bbc.co.uk/2/hi/uk_news/england/surrey/6362977.stm","",5,"Small",2.42905,51559,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",51.28777211,-0.15430659,NA,NA,NA,NA
"27",27,2007-02-15,"United States","landslide","Landslide","Rain","",NA,NA,"KGW","https://slidingthought.wordpress.com/tag/stevenson-landslide/","Above_river",NA,"Medium",0.67264,1465,"US",NA,"Thu Dec 17 2015 16:23:20 GMT+0000 (UTC)",45.6993,-121.895,NA,NA,NA,NA
"28",28,2007-02-19,"Indonesia","landslide","Landslide","Rain","",21,NA,"BBC News","http://news.bbc.co.uk/1/hi/world/asia-pacific/1825601.stm","",50,"Large",22.71493,111461,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-7.28,110.141,NA,NA,NA,NA
