"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population.dis","countrycode","continentcode","tstamp","latitude.dis","longitude.dis","magnitude","tsunami_ind","damage_range","houses_damaged","city_name","latitude.cit","longitude.cit","feature_class","feature_code","population.cit","elevation","average_elevation","timezone","X","X.1","distance_between"
"30327",33,2007-03-03,"Indonesia","landslide","Landslide","Downpour","",3,NA,"Red Cross - Field reports","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2613","",50,"Medium",6.70539,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-8.626481143,120.4401609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30328",34,2007-03-02,"United States","landslide","Landslide","Rain","",NA,NA,"NBC 4 news","http://www.nbc4.com/news/11186871/detail.html","Unknown",NA,"Small",3.40765,16000,"US",NA,"Thu Jan 07 2016 20:34:44 GMT+0000 (UTC)",38.6009,-77.2682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30329",35,2007-03-12,"India","landslide","Landslide","Rain","",2,NA,"Tribune India.com","http://www.tribuneindia.com/2007/20070313/j&k.htm#2","",50,"Medium",10.00335,975857,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.0935,74.9112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30330",36,2007-03-14,"United Kingdom","landslide","Landslide","Rain","",NA,NA,"Shopshire news","http://www.shropshirestar.com/2007/03/farm-is-hit-by-landslide/","",5,"Small",2.96254,3371,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",52.456,-2.4244,NA,NA,NA,NA,"Ystrad Mynach",51.64276,-3.2362,"P","PPLA2",0,NA,115,"Europe/London","","",4868.35141364779
"30331",37,2007-03-19,"India","landslide","Landslide","Rain","",2,NA,"Tribune India.com","","",25,"Medium",18.10887,14711,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.8778,74.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30332",38,2007-03-20,"Pakistan","landslide","Landslide","Rain","",40,NA,"IOL","http://www.int.iol.co.za/index.php?set_id=1&click_id=126&art_id=nw20070320185758654C186026","",25,"Medium",10.21214,22551,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.5708,73.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30333",39,2007-03-21,"Nepal","landslide","Landslide","Rain","",NA,NA,"English People's Online","http://english.people.com.cn/200703/21/eng20070321_359809.html","",50,"Medium",1.36246,0,"NP","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",28.3667,82.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30334",40,2007-03-21,"Pakistan","landslide","Landslide","Rain","",10,NA,"Reuters - AlertNet.org","http://www.alertnet.org/thenews/newsdesk/IRIN/cd762a7e55cc29a72f2e39dec4074f17.htm","",25,"Medium",2.07567,601600,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.7033,73.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30335",41,2007-03-22,"Malaysia","landslide","Landslide","Downpour","",NA,NA,"Red Cross - Field reports","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2685","",10,"Medium",1.14708,50000,"MY","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",2.943,101.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30336",42,2007-03-22,"United States","landslide","Landslide","Rain","",NA,NA,"Canton Rep.com","http://www.cantonrep.com/index.php?ID=345054&Category=9&subCategoryID=0","",5,"Small",3.33522,17288,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.5175,-81.4305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30337",43,2007-03-23,"Pakistan","landslide","Landslide","Downpour","",10,NA,"Gulfnews.com","http://archive.gulfnews.com/articles/07/03/23/10113087.html","",50,"Medium",9.48165,14711,"IN","AS","Fri Sep 12 2014 19:59:55 GMT+0000 (UTC)",33.9659,74.3313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30338",44,2007-03-25,"Tajikistan","landslide","Landslide","Downpour","",8,NA,"Red Cross - Field reports","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2675","Below_road",NA,"Small",22.77523,1115,"TJ","AS","Thu Jan 07 2016 21:19:10 GMT+0000 (UTC)",39.0071,70.1951,NA,NA,NA,NA,"Novobod",39.01084,70.15082,"P","PPL",5352,NA,1276,"Asia/Dushanbe","","",76.574366206948
"30427",45,2007-03-26,"United States","landslide","Landslide","Rain","",NA,NA,"TDN.com","http://www.tdn.com/articles/2007/03/27/top_story/news01.txt","",5,"Medium",29.09438,1982,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",46.355,-122.5479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30428",46,2007-03-26,"Yemen","landslide","Landslide","Rain","",NA,NA,"Reuters - AlertNet.org","http://www.alertnet.org/thenews/newsdesk/L26560027.htm","",NA,"Medium",8.84661,0,"YE","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",15.4508,43.9605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30429",47,2007-03-24,"Canada","landslide","Landslide","Rain","",NA,NA,"The Vancouver Province","http://www.canada.com/theprovince/news/story.html?id=89edb96c-e563-46c7-b34a-b5a2772243a5","Above_river",NA,"Large",11.24896,151683,"CA",NA,"Thu Jan 07 2016 20:43:59 GMT+0000 (UTC)",49.1461,-122.3236,NA,NA,NA,NA,"Abbotsford",49.05798,-122.25257,"P","PPL",151683,NA,114,"America/Vancouver","","",589.032732597094
"31257",48,2007-03-28,"Afghanistan","landslide","Landslide","Flooding","",114,NA,"United Nations Development Programme - Relief Web","http://www.reliefweb.int/rw/RWB.NSF/db900SID/EVOD-6ZPEZU?OpenDocument","",50,"Large",0.83418,3043532,"AF","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.5353,69.1696,NA,NA,NA,NA,"Kabul",34.52813,69.17233,"P","PPLC",3043532,NA,1798,"Asia/Kabul","","",48.877158765366
"31568",49,2007-03-28,"Canada","landslide","Landslide","Rain","",NA,NA,"Skyscraper","http://forum.skyscraperpage.com/showthread.php?t=128232","",5,"Medium",1.48553,44560,"CA",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",49.2966,-123.1357,NA,NA,NA,NA,"West End",49.28333,-123.13333,"P","PPL",44560,NA,49,"America/Vancouver","","",84.9660264996244
"32396",50,2007-03-28,"United States","landslide","Landslide","Rain","",NA,NA,"kgw.com","http://www.kgw.com/news-local/stories/kgw_033007_news_sunset_slide.16295132.html","Above_road",NA,"Small",2.3782,20156,"US",NA,"Thu Jan 07 2016 20:53:16 GMT+0000 (UTC)",45.5113,-122.7069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32397",51,2007-04-01,"Tajikistan","landslide","Landslide","Downpour","",1,NA,"Red Cross - Field reports","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2700","",5,"Medium",29.06942,2899,"TJ","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",39.221,71.188,NA,NA,NA,NA,"Jirghatol",39.21966,71.19155,"P","PPLA2",0,NA,1837,"Asia/Dushanbe","","",8.61039136475762
"32486",52,2007-04-01,"Tajikistan","landslide","Landslide","Downpour","",NA,NA,"","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2700","",5,"Medium",73.47045,5521,"TJ","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",37.576,72.592,NA,NA,NA,NA,"Oltintopkan",40.65425,69.59811,"P","PPL",4823,NA,1259,"Asia/Dushanbe","","",2183.4092682837
"32575",53,2007-04-02,"China","landslide","Landslide","Rain","",7,NA,"Freshnews India","http://www.freshnews.in/china-landslide-kills-seven-1824","",5,"Medium",1.01466,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",29.3014,108.1536,NA,NA,NA,NA,"Hanjia",29.29524,108.16132,"P","PPLA3",0,NA,295,"Asia/Shanghai","","",46.8423755701703
"47387",54,2007-04-05,"Fiji","landslide","Landslide","Tropical_Cyclone","",NA,NA,"AFP - abc.net.au","http://www.abc.net.au/news/stories/2007/04/05/1891095.htm","",NA,"Medium",18.90987,27949,"FJ","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-16.5834,179.4221,NA,NA,NA,NA,"Labasa",-16.4332,179.36451,"P","PPLA",27949,NA,5,"Pacific/Fiji","","",990.191581988655
"47394",55,2007-04-05,"Tajikistan","landslide","Landslide","Downpour","",NA,NA,"Red Cross - Field reports","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2700","",5,"Medium",0.31668,26000,"TJ","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.727,71.611,NA,NA,NA,NA,"Ishqoshim",36.72484,71.61331,"P","PPLA2",26000,NA,2535,"Asia/Dushanbe","","",16.0606745115103
"47483",56,2007-04-06,"United States","landslide","Landslide","Rain","",NA,NA,"The Pittsburgh Channel.com","https://web.archive.org/web/20080423132842/http://www.thepittsburghchannel.com/news/11846833/detail.html","Urban_area",5,"Small",2.91977,15930,"US",NA,"Thu Jan 07 2016 21:58:13 GMT+0000 (UTC)",40.4377,-79.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47484",57,2007-04-11,"India","landslide","Landslide","Downpour","",NA,NA,"WebIndia123.com","http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410","",5,"Medium",11.92749,1464,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",27.4459,88.6193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47485",58,2007-04-13,"Spain","landslide","Landslide","Rain","",NA,NA,"ThinkSpain.com","http://www.thinkspain.com/news-spain/12940","",10,"Medium",4.28556,1026,"ES","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",41.8741,-1.2144,NA,NA,NA,NA,"Oimbra",41.88554,-7.47216,"P","PPL",1977,NA,396,"Europe/Madrid","","",109.797035590868
"54319",59,2007-04-14,"Canada","landslide","Riverbank_Collapse","Rain","",NA,NA,"Le Soleil","http://www.hebdos.net/lsc/edition162007/articles.asp?article_id=166976","Above_river",NA,"Small",2.98682,42786,"CA",NA,"Wed Jan 13 2016 16:01:36 GMT+0000 (UTC)",45.3226,-73.7771,NA,NA,NA,NA,"Mercier",45.31678,-73.74919,"P","PPL",10121,NA,47,"America/Toronto","","",55.3707142129198
"55147",60,2007-04-15,"Jordan","landslide","Landslide","Rain","",13,NA,"Khleej times.com","http://www.khaleejtimes.com/DisplayArticleNew.asp?xfile=data/middleeast/2007/April/middleeast_April231.xml&section=middleeast&col=","",15,"Large",18.85719,19783,"JO","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",31.747,35.5915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55148",61,2007-04-15,"United States","landslide","Landslide","Downpour","",0,NA,"Source: Matthew Crawford (KGS)","","Below_road",5,"Small",5.66542,6903,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",37.4325,-82.4931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55149",62,2007-04-15,"Canada","landslide","Landslide","Rain","",NA,NA,"CBC news","http://www.cbc.ca/canada/newfoundland-labrador/story/2007/04/16/second-landslide.html","Bluff",NA,"Small",119.78675,4163,"CA",NA,"Fri Aug 14 2015 17:01:14 GMT+0000 (UTC)",50.2413,-57.5843,NA,NA,NA,NA,"Swift Current",50.28337,-107.80135,"P","PPL",14703,NA,742,"America/Swift_Current","","",408.699455937181
"55977",63,2007-04-17,"Tajikistan","landslide","Mudslide","Downpour","",NA,NA,"Red Cross - Field reports","http://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2713","",10,"Medium",2.66467,37995,"TJ","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.533,68.214,NA,NA,NA,NA,"Tursunzoda",38.51437,68.23327,"P","PPL",37995,NA,708,"Asia/Dushanbe","","",145.027539802608
"56066",64,2007-04-20,"United States","landslide","Landslide","Rain","",NA,NA,"Applalachain news-express","http://www.news-expressky.com/articles/2007/04/19/top_story/01mudslide.txt","",10,"Small",0.23715,6903,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",37.4814,-82.5186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56067",65,2007-04-21,"Indonesia","landslide","Landslide","Rain","",5,NA,"Dawn - English Pakistan Newpaper","http://www.dawn.com/2007/04/21/welcome.htm","",5,"Medium",2.95753,1288084,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-6.9667,110.4167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
